,ExpNum,droneNum,CarNum,carDistance,droneDistance,time,NumPlaces
70,10.0,0.0,1.0,0.27467721277121343,0.0,2901.0,30.0
71,10.0,1.0,1.0,0.17358769272366278,0.15207046620533948,1939.0,30.0
72,10.0,2.0,1.0,0.14600753703386896,0.2930920182010385,1687.0,30.0
73,10.0,3.0,1.0,0.11038776512672334,0.44100179303164316,1278.0,30.0
74,10.0,4.0,1.0,0.08683824348479047,0.5283648408105663,1126.0,30.0
75,10.0,5.0,1.0,0.07113551282064384,0.5034262600149799,1022.0,30.0
76,10.0,0.0,2.0,0.360425830419831,0.0,2366.0,30.0
77,11.0,0.0,1.0,0.2929771050622939,0.0,3077.0,30.0
78,11.0,1.0,1.0,0.17051152709073264,0.17738833526536052,1864.0,30.0
79,11.0,2.0,1.0,0.12126352890475695,0.2688949814319529,1371.0,30.0
80,11.0,3.0,1.0,0.0911778250356626,0.4438152683775037,1219.0,30.0
81,11.0,4.0,1.0,0.09339472967463627,0.4713039600003368,1188.0,30.0
82,11.0,5.0,1.0,0.09932214617780998,0.46057296178746115,1117.0,30.0
83,11.0,0.0,2.0,0.3637943448788615,0.0,2129.0,30.0
84,12.0,0.0,1.0,0.24456647456961134,0.0,2573.0,30.0
85,12.0,1.0,1.0,0.15184364732077796,0.16543098501373882,1659.0,30.0
86,12.0,2.0,1.0,0.12474790038228521,0.22625720971553076,1410.0,30.0
87,12.0,3.0,1.0,0.11241845534391062,0.34420547688888903,1222.0,30.0
88,12.0,4.0,1.0,0.09752658081690282,0.3292758300998031,1111.0,30.0
89,12.0,5.0,1.0,0.09054560630875562,0.39870364326357177,949.0,30.0
90,12.0,0.0,2.0,0.2450469789973992,0.0,1357.0,30.0
91,13.0,0.0,1.0,0.3030109663539944,0.0,3175.0,30.0
92,13.0,1.0,1.0,0.2022923301557036,0.1788640126482625,2251.0,30.0
93,13.0,2.0,1.0,0.17202835946322956,0.2885035966384695,1805.0,30.0
94,13.0,3.0,1.0,0.13805257774809712,0.4588651750060628,1575.0,30.0
95,13.0,4.0,1.0,0.0936823534573302,0.5573395233309593,1190.0,30.0
96,13.0,5.0,1.0,0.09414557693244491,0.503245098348587,1195.0,30.0
97,13.0,0.0,2.0,0.3513350871141172,0.0,2421.0,30.0
98,14.0,0.0,1.0,0.22960105663091143,0.0,2434.0,30.0
99,14.0,1.0,1.0,0.1641423413778284,0.16715327169564637,1910.0,30.0
100,14.0,2.0,1.0,0.11945457182077565,0.2549218106570739,1348.0,30.0
101,14.0,3.0,1.0,0.1081473630515066,0.38274199849122353,1381.0,30.0
102,14.0,4.0,1.0,0.08862865517950551,0.398291694943275,1080.0,30.0
103,14.0,5.0,1.0,0.08763515549260108,0.42296421197422257,1118.0,30.0
104,14.0,0.0,2.0,0.2817331004864414,0.0,1977.0,30.0
105,15.0,0.0,1.0,0.28809019670194486,0.0,3023.0,30.0
106,15.0,1.0,1.0,0.16201278363822638,0.20558719458674476,1858.0,30.0
107,15.0,2.0,1.0,0.15638406073745534,0.334398602568192,1697.0,30.0
108,15.0,3.0,1.0,0.1295736033593734,0.3822751047968602,1520.0,30.0
109,15.0,4.0,1.0,0.1181553940732467,0.4775857522632762,1238.0,30.0
110,15.0,5.0,1.0,0.09279965179794958,0.5727656614217259,1160.0,30.0
111,15.0,0.0,2.0,0.32453795389568835,0.0,2110.0,30.0
112,16.0,0.0,1.0,0.3237584977297429,0.0,3409.0,30.0
113,16.0,1.0,1.0,0.1603581108086887,0.21056932267015735,1932.0,30.0
114,16.0,2.0,1.0,0.13858370006732157,0.29561489860920226,1657.0,30.0
115,16.0,3.0,1.0,0.10877527731789344,0.4340794460199995,1383.0,30.0
116,16.0,4.0,1.0,0.08764430938986412,0.4062141485124486,1046.0,30.0
117,16.0,5.0,1.0,0.07770317258065862,0.46111487676178436,982.0,30.0
118,16.0,0.0,2.0,0.3653711195921799,0.0,2358.0,30.0
119,17.0,0.0,1.0,0.2992410044986474,0.0,3155.0,30.0
120,17.0,1.0,1.0,0.14949976338002768,0.19058302941521665,1750.0,30.0
121,17.0,2.0,1.0,0.11759257379197952,0.3078659918330232,1460.0,30.0
122,17.0,3.0,1.0,0.10975519229578519,0.3381936155258051,1252.0,30.0
123,17.0,4.0,1.0,0.09857359871041267,0.4022813419632443,1101.0,30.0
124,17.0,5.0,1.0,0.07499250906921015,0.5557339036565004,1004.0,30.0
125,17.0,0.0,2.0,0.32910500521270003,0.0,1935.0,30.0
126,18.0,0.0,1.0,0.2374016538338596,0.0,2509.0,30.0
127,18.0,1.0,1.0,0.17722384662096022,0.1406388147581301,1994.0,30.0
128,18.0,2.0,1.0,0.14909197853147563,0.3296182022517755,1744.0,30.0
129,18.0,3.0,1.0,0.14016952501847132,0.3651002682599574,1590.0,30.0
130,18.0,4.0,1.0,0.1006201357095315,0.6263198909665504,1199.0,30.0
131,18.0,5.0,1.0,0.07399729755158403,0.5373015365700298,880.0,30.0
132,18.0,0.0,2.0,0.29791899458659027,0.0,1592.0,30.0
133,19.0,0.0,1.0,0.2862384004673072,0.0,3012.0,30.0
134,19.0,1.0,1.0,0.1513361265581111,0.1738852005851293,1704.0,30.0
135,19.0,2.0,1.0,0.11968421856215256,0.21434125606636928,1330.0,30.0
136,19.0,3.0,1.0,0.10600984767058058,0.33242794631687284,1168.0,30.0
137,19.0,4.0,1.0,0.0999663700623386,0.4097622688988853,1086.0,30.0
138,19.0,5.0,1.0,0.09288825798606688,0.42485854812233476,1009.0,30.0
139,19.0,0.0,2.0,0.3154166692121854,0.0,2004.0,30.0
