,ExpNum,droneNum,CarNum,carDistance,droneDistance,time,NumPlaces
69,9.0,0.0,2.0,0.41638303704820656,0.0,2394.0,60.0
70,10.0,0.0,1.0,0.40420646187332615,0.0,4253.0,60.0
71,10.0,1.0,1.0,0.29705707743256976,0.27162715241007085,3284.0,60.0
72,10.0,2.0,1.0,0.2038383776277592,0.38284603997847777,2263.0,60.0
73,10.0,3.0,1.0,0.16547031230739648,0.585464040201091,1855.0,60.0
74,10.0,4.0,1.0,0.13179622687775042,0.667969329041148,1571.0,60.0
75,10.0,5.0,1.0,0.1178304387776901,0.7665142573721027,1387.0,60.0
76,10.0,0.0,2.0,0.4379884442445351,0.0,2648.0,60.0
77,11.0,0.0,1.0,0.3589532852826077,0.0,3784.0,60.0
78,11.0,1.0,1.0,0.2807028432604475,0.26219866673776243,3056.0,60.0
79,11.0,2.0,1.0,0.18614586507719258,0.45946404867248514,2074.0,60.0
80,11.0,3.0,1.0,0.1547445177695862,0.5651387583881957,1692.0,60.0
81,11.0,4.0,1.0,0.13442855396964876,0.6252603350802266,1542.0,60.0
82,11.0,5.0,1.0,0.11702768213167991,0.7890739836350114,1371.0,60.0
83,11.0,0.0,2.0,0.4257451949440557,0.0,2351.0,60.0
84,12.0,0.0,1.0,0.3987688965484221,0.0,4193.0,60.0
85,12.0,1.0,1.0,0.2832891318181403,0.27526744037767514,3046.0,60.0
86,12.0,2.0,1.0,0.21549852461356137,0.44962057868713823,2449.0,60.0
87,12.0,3.0,1.0,0.1804391442155648,0.5616525048070927,2031.0,60.0
88,12.0,4.0,1.0,0.16028150030210775,0.6555370715889988,1800.0,60.0
89,12.0,5.0,1.0,0.12569067451911559,0.7233347839037556,1428.0,60.0
90,12.0,0.0,2.0,0.458350156832058,0.0,2942.0,60.0
91,13.0,0.0,1.0,0.39176324747432917,0.0,4110.0,60.0
92,13.0,1.0,1.0,0.2820562882277661,0.19577872924383477,3008.0,60.0
93,13.0,2.0,1.0,0.2368378571722033,0.33810432741219004,2534.0,60.0
94,13.0,3.0,1.0,0.20251348343686285,0.5440991886059195,2209.0,60.0
95,13.0,4.0,1.0,0.1752054774906045,0.5171351118513146,1930.0,60.0
96,13.0,5.0,1.0,0.16540501238496091,0.6628488334086701,1798.0,60.0
97,13.0,0.0,2.0,0.4285185262645781,0.0,2458.0,60.0
98,14.0,0.0,1.0,0.41505251953564737,0.0,4360.0,60.0
99,14.0,1.0,1.0,0.2682732613414982,0.2702134287667251,2978.0,60.0
100,14.0,2.0,1.0,0.21663836600552003,0.387909870077938,2348.0,60.0
101,14.0,3.0,1.0,0.18925796239471704,0.5839832948415833,2244.0,60.0
102,14.0,4.0,1.0,0.15260950598480452,0.7010968914711527,1919.0,60.0
103,14.0,5.0,1.0,0.13977551162119922,0.7447026534373418,1589.0,60.0
104,14.0,0.0,2.0,0.47346949526819515,0.0,2998.0,60.0
105,15.0,0.0,1.0,0.3799303694176311,0.0,4009.0,60.0
106,15.0,1.0,1.0,0.23039534249877247,0.22881183905553376,2538.0,60.0
107,15.0,2.0,1.0,0.21777081207487842,0.41350795216866676,2413.0,60.0
108,15.0,3.0,1.0,0.17328783510649168,0.464958298886073,1898.0,60.0
109,15.0,4.0,1.0,0.17112495535894695,0.653596126832045,1965.0,60.0
110,15.0,5.0,1.0,0.15988709409959448,0.6921732495187743,1854.0,60.0
111,15.0,0.0,2.0,0.4322367559975583,0.0,2755.0,60.0
112,16.0,0.0,1.0,0.3702186160874957,0.0,3890.0,60.0
113,16.0,1.0,1.0,0.23307819606344007,0.23864546054625257,2571.0,60.0
114,16.0,2.0,1.0,0.1820935740883723,0.43115078402664186,2110.0,60.0
115,16.0,3.0,1.0,0.15624304000959835,0.5204705178001309,1807.0,60.0
116,16.0,4.0,1.0,0.14455721577535838,0.6073579394992512,1730.0,60.0
117,16.0,5.0,1.0,0.12235647103582045,0.7118697036257264,1458.0,60.0
118,16.0,0.0,2.0,0.4309067532488122,0.0,2588.0,60.0
119,17.0,0.0,1.0,0.3951796110502952,0.0,4154.0,60.0
120,17.0,1.0,1.0,0.23197246037687064,0.22478681514819504,2518.0,60.0
121,17.0,2.0,1.0,0.19540434425552125,0.35745236153959004,2215.0,60.0
122,17.0,3.0,1.0,0.15608597938617344,0.514419475904513,1853.0,60.0
123,17.0,4.0,1.0,0.14285818806566442,0.7092679247790443,1657.0,60.0
124,17.0,5.0,1.0,0.1347222216424517,0.8258012991114947,1700.0,60.0
125,17.0,0.0,2.0,0.435288852220673,0.0,2524.0,60.0
126,18.0,0.0,1.0,0.37241021013754994,0.0,3926.0,60.0
127,18.0,1.0,1.0,0.2772568625496877,0.2627793096416438,2998.0,60.0
128,18.0,2.0,1.0,0.1941737691808713,0.40775717223383645,2138.0,60.0
129,18.0,3.0,1.0,0.18700255689133807,0.566736550718277,2117.0,60.0
130,18.0,4.0,1.0,0.12778222503312783,0.7254193886600899,1689.0,60.0
131,18.0,5.0,1.0,0.1319138125728442,0.6148459689519705,1484.0,60.0
132,18.0,0.0,2.0,0.4669270885771828,0.0,2833.0,60.0
133,19.0,0.0,1.0,0.38587168342062833,0.0,4063.0,60.0
134,19.0,1.0,1.0,0.2712787425061238,0.3021617094814949,3099.0,60.0
135,19.0,2.0,1.0,0.19975663324511117,0.4216087340747021,2166.0,60.0
136,19.0,3.0,1.0,0.17650067303454378,0.5535738608122491,1946.0,60.0
137,19.0,4.0,1.0,0.15999915351145272,0.6290466334843099,1743.0,60.0
138,19.0,5.0,1.0,0.12870850126984323,0.7559251917774678,1417.0,60.0
139,19.0,0.0,2.0,0.42252407109358064,0.0,2683.0,60.0
140,20.0,0.0,1.0,0.361170268198468,0.0,3819.0,60.0
141,20.0,1.0,1.0,0.2316529791932578,0.22588611601190417,2482.0,60.0
142,20.0,2.0,1.0,0.15937230354165455,0.3566224559603238,1930.0,60.0
143,20.0,3.0,1.0,0.15087136346878666,0.525201597855416,1733.0,60.0
144,20.0,4.0,1.0,0.13354020448181164,0.5789623137563159,1452.0,60.0
145,20.0,5.0,1.0,0.12148922818595258,0.5329550130273558,1376.0,60.0
146,20.0,0.0,2.0,0.3904195527585208,0.0,2342.0,60.0
147,21.0,0.0,1.0,0.3579823927670578,0.0,3788.0,60.0
148,21.0,1.0,1.0,0.2610329510678108,0.2811655451398705,2885.0,60.0
149,21.0,2.0,1.0,0.18291520668838943,0.44918972168980204,2110.0,60.0
150,21.0,3.0,1.0,0.1787259653570037,0.4617678041984997,1988.0,60.0
151,21.0,4.0,1.0,0.1414224081190137,0.6785551277495381,1672.0,60.0
152,21.0,5.0,1.0,0.1299959503406751,0.65063426399892,1438.0,60.0
153,21.0,0.0,2.0,0.38590439540146215,0.0,2391.0,60.0
154,22.0,0.0,1.0,0.4438035893147979,0.0,4646.0,60.0
155,22.0,1.0,1.0,0.2829550936433153,0.2901616348991994,3057.0,60.0
156,22.0,2.0,1.0,0.18853825884320605,0.45309833590238824,2224.0,60.0
